,CURRENT_PRICE,PREDICTED_PRICE
2025-04-26 07:38:30,,283.91324
2025-04-26 07:39:30,,283.91324
2025-04-26 07:40:30,,283.91324
2025-04-26 07:41:30,,283.91324
2025-04-26 07:42:30,,283.91324
2025-04-26 07:43:30,,283.91324
2025-04-26 07:44:30,,283.91324
2025-04-26 07:45:30,,283.91324
2025-04-26 07:46:30,,283.91324
2025-04-26 07:47:30,,283.91324
2025-04-26 07:48:30,,283.91324
2025-04-26 07:49:30,,283.91324
2025-04-26 07:50:30,,283.91324
2025-04-26 07:51:30,,283.91324
2025-04-26 07:52:30,,283.91324
2025-04-26 07:53:30,,283.91324
2025-04-26 07:54:30,,283.91324
2025-04-26 07:55:30,,283.91324
2025-04-26 07:56:30,,283.91324
2025-04-26 07:57:30,,283.91324
2025-04-26 07:58:30,,283.91324
2025-04-26 07:59:30,,283.91324
2025-04-26 08:00:30,,283.91324
2025-04-26 08:01:30,,283.91324
2025-04-26 08:02:30,,283.91324
2025-04-26 08:03:30,,283.91324
2025-04-26 08:04:30,,283.91324
2025-04-26 08:05:30,,283.91324
2025-04-26 08:06:30,,283.91324
2025-04-26 08:07:30,,283.91324
2025-04-26 08:08:30,,283.91324
2025-04-26 08:09:30,,283.91324
2025-04-26 08:10:30,,283.91324
2025-04-26 08:11:30,,283.91324
2025-04-26 08:12:30,,283.91324
2025-04-26 08:13:30,,283.91324
2025-04-26 08:14:30,,283.91324
2025-04-26 08:15:30,,283.91324
2025-04-26 08:16:30,,283.91324
2025-04-26 08:17:30,,283.91324
2025-04-26 08:18:30,,283.91324
2025-04-26 08:19:30,,283.91324
2025-04-26 08:20:30,,283.91324
2025-04-26 08:21:30,,283.91324
2025-04-26 08:22:30,,283.91324
2025-04-26 08:23:30,,283.91324
2025-04-26 08:24:30,,283.91324
2025-04-26 08:25:30,,283.91324
2025-04-26 08:26:30,,283.91324
2025-04-26 08:27:30,,283.91324
2025-04-26 08:28:30,,283.91324
2025-04-26 08:29:30,,283.91324
2025-04-26 08:30:30,,283.91324
2025-04-26 08:31:30,,283.91324
2025-04-26 08:32:30,,283.91324
2025-04-26 08:33:30,,283.91324
2025-04-26 08:34:30,,283.91324
2025-04-26 08:35:30,,283.91324
2025-04-26 08:36:30,,283.91324
2025-04-26 08:37:30,,283.91324
2025-04-26 08:38:30,,283.91324
2025-04-26 08:39:30,,283.91324
2025-04-26 08:40:30,,283.91324
2025-04-26 08:41:30,,283.91324
2025-04-26 08:42:30,,283.91324
2025-04-26 08:43:30,,283.91324
2025-04-26 08:44:30,,283.91324
2025-04-26 08:45:30,,283.91324
2025-04-26 08:46:30,,283.91324
2025-04-26 08:47:30,,283.91324
2025-04-26 08:48:30,,283.91324
2025-04-26 08:49:30,,283.91324
2025-04-26 08:50:30,,283.91324
2025-04-26 08:51:30,,283.91324
2025-04-26 08:52:30,,283.91324
2025-04-26 08:53:30,,283.91324
2025-04-26 08:54:30,,283.91324
2025-04-26 08:55:30,,283.91324
2025-04-26 08:56:30,,283.91324
2025-04-26 08:57:30,,283.91324
2025-04-26 08:58:30,,283.91324
2025-04-26 08:59:30,,283.91324
2025-04-26 09:00:30,,283.91324
2025-04-26 09:01:30,,283.91324
2025-04-26 09:02:30,,283.91324
2025-04-26 09:03:30,,283.91324
2025-04-26 09:04:30,,283.91324
2025-04-26 09:05:30,,283.91324
2025-04-26 09:06:30,,283.91324
2025-04-26 09:07:30,,283.91324
2025-04-26 09:08:30,,283.91324
2025-04-26 09:09:30,,283.91324
2025-04-26 09:10:30,,283.91324
2025-04-26 09:11:30,,283.91324
2025-04-26 09:12:30,,283.91324
2025-04-26 09:13:30,,283.91324
2025-04-26 09:14:30,,283.91324
2025-04-26 09:15:30,,283.91324
2025-04-26 09:16:30,,283.91324
2025-04-26 09:17:30,,283.91324
2025-04-26 09:18:30,,283.91324
2025-04-26 09:19:30,,283.91324
2025-04-26 09:20:30,,283.91324
2025-04-26 09:21:30,,283.91324
2025-04-26 09:22:30,,283.91324
2025-04-26 09:23:30,,283.91324
2025-04-26 09:24:30,,283.91324
2025-04-26 09:25:30,,283.91324
2025-04-26 09:26:30,,283.91324
2025-04-26 09:27:30,,283.91324
2025-04-26 09:28:30,,283.91324
2025-04-26 09:29:30,,283.91324
2025-04-26 09:30:30,,283.91324
2025-04-26 09:31:30,,283.91324
2025-04-26 09:32:30,,283.91324
2025-04-26 09:33:30,,283.91324
2025-04-26 09:34:30,,283.91324
2025-04-26 09:35:30,,283.91324
2025-04-26 09:36:30,,283.91324
2025-04-26 09:37:30,,283.91324
2025-04-26 09:38:30,,283.91324
2025-04-26 09:39:30,,283.91324
2025-04-26 09:40:30,,283.91324
2025-04-26 09:41:30,,283.91324
2025-04-26 09:42:30,,283.91324
2025-04-26 09:43:30,,283.91324
2025-04-26 09:44:30,,283.91324
2025-04-26 09:45:30,,283.91324
2025-04-26 09:46:30,,283.91324
2025-04-26 09:47:30,,283.91324
2025-04-26 09:48:30,,283.91324
2025-04-26 09:49:30,,283.91324
2025-04-26 09:50:30,,283.91324
2025-04-26 09:51:30,,283.91324
2025-04-26 09:52:30,,283.91324
2025-04-26 09:53:30,,283.91324
2025-04-26 09:54:30,,283.91324
2025-04-26 09:55:30,,283.91324
2025-04-26 09:56:30,,283.91324
2025-04-26 09:57:30,,283.91324
2025-04-26 09:58:30,,283.91324
2025-04-26 09:59:30,,283.91324
2025-04-26 10:00:30,,283.91324
2025-04-26 10:01:30,,283.91324
2025-04-26 10:02:30,,283.91324
2025-04-26 10:03:30,,283.91324
2025-04-26 10:04:30,,283.91324
2025-04-26 10:05:30,,283.91324
2025-04-26 10:06:30,,283.91324
2025-04-26 10:07:30,,283.91324
