,STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
2025-04-17 11:20:00,AAPL,196.94,196.73,196.68350219726562
2025-04-17 11:21:00,AAPL,196.73,196.52,196.71548461914062
2025-04-17 11:22:00,AAPL,196.52,196.46,196.7194366455078
2025-04-17 11:23:00,AAPL,196.465,196.6,196.70111083984375
2025-04-17 11:24:00,AAPL,196.61,196.66,196.67991638183594
2025-04-17 11:25:00,AAPL,196.67,196.4607,196.66236877441406
2025-04-17 11:26:00,AAPL,196.47,196.415,196.63369750976562
2025-04-17 11:27:00,AAPL,196.39,196.29,196.59658813476562
2025-04-17 11:28:00,AAPL,196.28,196.075,196.54766845703125
2025-04-17 11:29:00,AAPL,196.06,196.04,196.47927856445312
2025-04-17 11:30:00,AAPL,196.03,196.34,196.40087890625
2025-04-17 11:31:00,AAPL,196.33,196.63,196.3431396484375
2025-04-17 11:32:00,AAPL,196.64,196.6472,196.32286071777344
2025-04-17 11:33:00,AAPL,196.6685,196.62,196.3285675048828
2025-04-17 11:34:00,AAPL,196.595,196.53,196.3481903076172
2025-04-17 11:35:00,AAPL,196.515,196.3565,196.36883544921875
2025-04-17 11:36:00,AAPL,196.36,196.3,196.37644958496094
2025-04-17 11:37:00,AAPL,196.26,196.92,196.37158203125
2025-04-17 11:38:00,AAPL,196.93,196.4772,196.40379333496094
2025-04-17 11:39:00,AAPL,196.5,196.735,196.4251708984375
2025-04-17 11:40:00,AAPL,196.75,196.7514,196.4568634033203
2025-04-17 11:41:00,AAPL,196.79,196.53,196.4940185546875
2025-04-17 11:42:00,AAPL,196.5247,196.31,196.51617431640625
2025-04-17 11:43:00,AAPL,196.2902,196.39,196.51171875
2025-04-17 11:44:00,AAPL,196.405,196.27,196.49676513671875
2025-04-17 11:45:00,AAPL,196.29,196.17,196.4676971435547
2025-04-17 11:46:00,AAPL,196.23,196.32,196.42457580566406
2025-04-17 11:47:00,AAPL,196.34,196.39,196.3863983154297
2025-04-17 11:48:00,AAPL,196.4,196.5,196.35887145996094
2025-04-17 11:49:00,AAPL,196.505,196.24,196.3477020263672
2025-04-17 11:50:00,AAPL,196.25,196.07,196.32882690429688
2025-04-17 11:51:00,AAPL,196.08,196.6876,196.2943878173828
2025-04-17 11:52:00,AAPL,196.7,196.5925,196.29698181152344
2025-04-17 11:53:00,AAPL,196.585,196.16,196.31558227539062
2025-04-17 11:54:00,AAPL,196.15,196.215,196.31199645996094
2025-04-17 11:55:00,AAPL,196.2004,196.58,196.29891967773438
2025-04-17 11:56:00,AAPL,196.59,196.5601,196.30711364746094
2025-04-17 11:57:00,AAPL,196.59,196.36,196.32656860351562
2025-04-17 11:58:00,AAPL,196.37,196.2195,196.3373565673828
2025-04-17 11:59:00,AAPL,196.2,196.11,196.33204650878906
2025-04-17 12:00:00,AAPL,196.12,196.4,196.30935668945312
2025-04-17 12:01:00,AAPL,196.4006,196.52,196.29818725585938
2025-04-17 12:02:00,AAPL,196.51,196.5,196.30352783203125
2025-04-17 12:03:00,AAPL,196.52,196.61,196.3173370361328
2025-04-17 12:04:00,AAPL,196.62,196.36,196.34332275390625
2025-04-17 12:05:00,AAPL,196.36,197.0,196.35726928710938
2025-04-17 12:06:00,AAPL,197.0071,196.8635,196.4086151123047
2025-04-17 12:07:00,AAPL,196.93,197.39,196.46990966796875
2025-04-17 12:08:00,AAPL,197.4,197.69,196.57089233398438
2025-04-17 12:09:00,AAPL,197.69,197.51,196.71109008789062
2025-04-17 12:10:00,AAPL,197.5,197.26,196.8529815673828
2025-04-17 12:11:00,AAPL,197.25,197.43,196.9681396484375
2025-04-17 12:12:00,AAPL,197.4313,196.84,197.07086181640625
2025-04-17 12:13:00,AAPL,196.81,197.0375,197.1160430908203
2025-04-17 12:14:00,AAPL,197.13,197.6,197.1363983154297
2025-04-17 12:15:00,AAPL,197.5501,197.45,197.17990112304688
2025-04-17 12:16:00,AAPL,197.4684,197.77,197.22337341308594
2025-04-17 12:17:00,AAPL,197.76,197.445,197.28643798828125
2025-04-17 12:18:00,AAPL,197.4217,197.47,197.33348083496094
2025-04-17 12:19:00,AAPL,197.48,197.91,197.3688507080078
2025-04-17 12:20:00,AAPL,197.9,197.62,197.42581176757812
