ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-24 20:20:30,293.8201219863752,282.87239427985253,285.7166802916775,293.8201219863752,293.8201219863752,-9.46802097077786,-9.46802097077786,-9.46802097077786,-9.46802097077786,-9.46802097077786,-9.46802097077786,0.0,0.0,0.0,284.3521010155974
2025-04-24 20:21:30,293.8203661827534,282.89135379743806,285.7266308887658,293.8203661827534,293.8203661827534,-9.443151516152696,-9.443151516152696,-9.443151516152696,-9.443151516152696,-9.443151516152696,-9.443151516152696,0.0,0.0,0.0,284.3772146666007
2025-04-24 20:22:30,293.8206103791315,283.0107993933821,285.7174118790049,293.8206103791315,293.8206103791315,-9.417456081724962,-9.417456081724962,-9.417456081724962,-9.417456081724962,-9.417456081724962,-9.417456081724962,0.0,0.0,0.0,284.40315429740656
2025-04-24 20:23:30,293.8208545755096,283.145781743787,285.8721973953613,293.8208545755096,293.8208545755096,-9.390921027084605,-9.390921027084605,-9.390921027084605,-9.390921027084605,-9.390921027084605,-9.390921027084605,0.0,0.0,0.0,284.42993354842497
2025-04-24 20:24:30,293.82109877188765,283.12064063546745,285.88493563012935,293.82109877188765,293.82109877188765,-9.363532713492058,-9.363532713492058,-9.363532713492058,-9.363532713492058,-9.363532713492058,-9.363532713492058,0.0,0.0,0.0,284.45756605839557
2025-04-24 20:25:30,293.82134296826575,283.05975541899136,285.91046896552285,293.82134296826575,293.82134296826575,-9.335277507529707,-9.335277507529707,-9.335277507529707,-9.335277507529707,-9.335277507529707,-9.335277507529707,0.0,0.0,0.0,284.48606546073603
2025-04-24 20:26:30,293.82158716464386,283.0480252002288,285.89315299732556,293.82158716464386,293.8216087976597,-9.306141784490285,-9.306141784490285,-9.306141784490285,-9.306141784490285,-9.306141784490285,-9.306141784490285,0.0,0.0,0.0,284.51544538015355
2025-04-24 20:27:30,293.82183136102196,283.2568112454938,285.9670015520846,293.82183136102196,293.82189508926876,-9.276111935494479,-9.276111935494479,-9.276111935494479,-9.276111935494479,-9.276111935494479,-9.276111935494479,0.0,0.0,0.0,284.54571942552747
2025-04-24 20:28:30,293.8220755574,283.17403494274515,286.00370196926536,293.8220466421437,293.82215772901384,-9.245174369147874,-9.245174369147874,-9.245174369147874,-9.245174369147874,-9.245174369147874,-9.245174369147874,0.0,0.0,0.0,284.5769011882521
2025-04-24 20:29:30,293.8223197537782,283.17082196370023,285.97514025076595,293.82227530855187,293.822447650454,-9.213315519033614,-9.213315519033614,-9.213315519033614,-9.213315519033614,-9.213315519033614,-9.213315519033614,0.0,0.0,0.0,284.6090042347446
2025-04-24 20:30:30,293.8225639501563,283.11780433118787,286.0447224041974,293.822466745495,293.822767629037,-9.180521845560465,-9.180521845560465,-9.180521845560465,-9.180521845560465,-9.180521845560465,-9.180521845560465,0.0,0.0,0.0,284.6420421045958
2025-04-24 20:31:30,293.8228081465344,283.2924681967133,285.8912492709028,293.8226138287756,293.82302952717856,-9.146779842994443,-9.146779842994443,-9.146779842994443,-9.146779842994443,-9.146779842994443,-9.146779842994443,0.0,0.0,0.0,284.67602830353997
2025-04-24 20:32:30,293.82305234291243,283.3247296807193,286.0328499680994,293.8228125493478,293.8233222292636,-9.112076043300329,-9.112076043300329,-9.112076043300329,-9.112076043300329,-9.112076043300329,-9.112076043300329,0.0,0.0,0.0,284.7109762996121
2025-04-24 20:33:30,293.82329653929054,283.3727182245303,286.1610149877759,293.8230450484789,293.8236165058015,-9.076397020182027,-9.076397020182027,-9.076397020182027,-9.076397020182027,-9.076397020182027,-9.076397020182027,0.0,0.0,0.0,284.7468995191085
2025-04-24 20:34:30,293.82354073566864,283.3886472763128,286.0882753337132,293.8232609283564,293.823929946314,-9.03972939408473,-9.03972939408473,-9.03972939408473,-9.03972939408473,-9.03972939408473,-9.03972939408473,0.0,0.0,0.0,284.78381134158394
2025-04-24 20:35:30,293.82378493204675,283.3648292351095,286.0966282933504,293.82346875932785,293.8242717723444,-9.002059839650167,-9.002059839650167,-9.002059839650167,-9.002059839650167,-9.002059839650167,-9.002059839650167,0.0,0.0,0.0,284.8217250923966
2025-04-24 20:36:30,293.8240291284248,283.4385514150792,286.2386504828287,293.8235377829456,293.82460796185546,-8.963375085829082,-8.963375085829082,-8.963375085829082,-8.963375085829082,-8.963375085829082,-8.963375085829082,0.0,0.0,0.0,284.86065404259574
2025-04-24 20:37:30,293.82427332480296,283.5708992814486,286.21775745555715,293.82366670660105,293.8248996983038,-8.923661925428751,-8.923661925428751,-8.923661925428751,-8.923661925428751,-8.923661925428751,-8.923661925428751,0.0,0.0,0.0,284.9006113993742
